
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012704                       # Number of seconds simulated (Second)
simTicks                                  12703577000                       # Number of ticks simulated (Tick)
finalTick                                 12703577000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    190.51                       # Real time elapsed on the host (Second)
hostTickRate                                 66683674                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17851000                       # Number of bytes of host memory used (Byte)
simInsts                                     50000002                       # Number of instructions simulated (Count)
simOps                                       50000002                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   262460                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     262460                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  12703577000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         25407155                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        69252897                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       55104446                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 109987                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             19252695                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          21466208                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            25405919                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.168961                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.393212                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4856477     19.12%     19.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2770660     10.91%     30.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4968832     19.56%     49.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9710998     38.22%     87.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2702536     10.64%     98.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     87465      0.34%     98.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    213742      0.84%     99.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     28465      0.11%     99.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     66744      0.26%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              25405919                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  190789     99.99%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.99% # attempts to use FU when none available (Count)
