
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012274                       # Number of seconds simulated (Second)
simTicks                                  12273723500                       # Number of ticks simulated (Tick)
finalTick                                 12273723500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    199.32                       # Real time elapsed on the host (Second)
hostTickRate                                 61578407                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16915812                       # Number of bytes of host memory used (Byte)
simInsts                                     50000004                       # Number of instructions simulated (Count)
simOps                                       50000004                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   250854                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     250854                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  12273723500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         24547448                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        68567009                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       63530150                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  75362                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             18566877                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           9339511                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            24544694                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.588346                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.692795                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  10651059     43.39%     43.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1059691      4.32%     47.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1550154      6.32%     54.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1545081      6.29%     60.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2156767      8.79%     69.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2378505      9.69%     78.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2720463     11.08%     89.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1971255      8.03%     97.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    511719      2.08%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              24544694                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  624002     62.89%     62.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     62.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     62.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     62.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     62.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     62.89% # attempts to use FU when none available (Count)
