
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006049                       # Number of seconds simulated (Second)
simTicks                                   6048732500                       # Number of ticks simulated (Tick)
finalTick                                  6048732500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    149.87                       # Real time elapsed on the host (Second)
hostTickRate                                 40359770                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16928380                       # Number of bytes of host memory used (Byte)
simInsts                                     50000004                       # Number of instructions simulated (Count)
simOps                                       50000004                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   333621                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     333621                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   6048732500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         12097466                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        53004271                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2749                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       51726985                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  24589                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3006840                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2054204                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 127                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            12078224                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.282665                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.606056                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1720520     14.24%     14.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    655202      5.42%     19.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    759600      6.29%     25.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1348582     11.17%     37.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1379167     11.42%     48.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1884570     15.60%     64.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1275018     10.56%     74.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1527309     12.65%     87.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1528256     12.65%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              12078224                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  860758     40.03%     40.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     22      0.00%     40.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     40.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     1      0.00%     40.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     40.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     40.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                21225      0.99%     41.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             26798      1.25%     42.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     42.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 8157      0.38%     42.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     42.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     42.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     42.64% # attempts to use FU when none available (Count)
