
---------- Begin Simulation Statistics ----------
simSeconds                                   0.013388                       # Number of seconds simulated (Second)
simTicks                                  13388382000                       # Number of ticks simulated (Tick)
finalTick                                 13388382000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    218.63                       # Real time elapsed on the host (Second)
hostTickRate                                 61238809                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16931448                       # Number of bytes of host memory used (Byte)
simInsts                                     50000001                       # Number of instructions simulated (Count)
simOps                                       50000001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   228701                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     228701                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  13388382000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         26776772                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        75379275                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       96                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       67068185                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 426230                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             25379339                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          15028727                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  63                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            26659582                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.515725                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.595538                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  10650954     39.95%     39.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1825845      6.85%     46.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2087389      7.83%     54.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2465571      9.25%     63.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2572573      9.65%     73.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2502063      9.39%     82.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2142189      8.04%     90.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1286876      4.83%     95.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1126122      4.22%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              26659582                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  414322     19.46%     19.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  18796      0.88%     20.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   12206      0.57%     20.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     20.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                    22      0.00%     20.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     20.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     20.92% # attempts to use FU when none available (Count)
