
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012476                       # Number of seconds simulated (Second)
simTicks                                  12475519000                       # Number of ticks simulated (Tick)
finalTick                                 12475519000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    183.19                       # Real time elapsed on the host (Second)
hostTickRate                                 68101720                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17166968                       # Number of bytes of host memory used (Byte)
simInsts                                     50000000                       # Number of instructions simulated (Count)
simOps                                       50000000                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   272941                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     272941                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  12475519000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         24951040                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        57443404                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       40                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       54928617                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  14925                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7443301                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4543879                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            24918596                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.204322                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.353304                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   9539323     38.28%     38.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2838532     11.39%     49.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2779661     11.15%     60.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2607998     10.47%     71.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2281687      9.16%     80.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1893790      7.60%     88.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1439744      5.78%     93.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    830281      3.33%     97.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    707580      2.84%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              24918596                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   92520      1.20%      1.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       2      0.00%      1.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 24616      0.32%      1.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  6960      0.09%      1.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 25299      0.33%      1.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              3638392     47.34%     49.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           2846844     37.04%     86.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                314310      4.09%     90.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                82983      1.08%     91.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt               139036      1.81%     93.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     93.30% # attempts to use FU when none available (Count)
