
---------- Begin Simulation Statistics ----------
simSeconds                                   0.016251                       # Number of seconds simulated (Second)
simTicks                                  16251403500                       # Number of ticks simulated (Tick)
finalTick                                 16251403500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    173.14                       # Real time elapsed on the host (Second)
hostTickRate                                 93861626                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16932472                       # Number of bytes of host memory used (Byte)
simInsts                                     50000003                       # Number of instructions simulated (Count)
simOps                                       50000003                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   288780                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     288780                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  16251403500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         32502809                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50289928                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    27375                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       50201124                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2019                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               317211                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            223345                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 945                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            32475453                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.545818                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.645597                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  10782734     33.20%     33.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   8177911     25.18%     58.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6399362     19.71%     78.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3038874      9.36%     87.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2025725      6.24%     93.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    893168      2.75%     96.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    711026      2.19%     98.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    300253      0.92%     99.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    146400      0.45%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              32475453                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   15664      0.03%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                217963      0.35%      0.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                    21      0.00%      0.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                256325      0.41%      0.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult             22388702     35.83%     36.61% # attempts to use FU when none available (Count)
