
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005902                       # Number of seconds simulated (Second)
simTicks                                   5901886000                       # Number of ticks simulated (Tick)
finalTick                                  5901886000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    171.55                       # Real time elapsed on the host (Second)
hostTickRate                                 34403197                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16933500                       # Number of bytes of host memory used (Byte)
simInsts                                     50000002                       # Number of instructions simulated (Count)
simOps                                       50000002                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   291459                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     291459                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   5901886000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11803777                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        51718911                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       68                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       51198441                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  27716                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1718938                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            966859                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11722365                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.367586                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.534991                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1906748     16.27%     16.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    393795      3.36%     19.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    447244      3.82%     23.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    805969      6.88%     30.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1346300     11.48%     41.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2362853     20.16%     61.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2116369     18.05%     80.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1150124      9.81%     89.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1192963     10.18%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11722365                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  569827     30.70%     30.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  91946      4.95%     35.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   99094      5.34%     40.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     40.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     40.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     40.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     40.99% # attempts to use FU when none available (Count)
