
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012232                       # Number of seconds simulated (Second)
simTicks                                  12231908000                       # Number of ticks simulated (Tick)
finalTick                                 12231908000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    224.55                       # Real time elapsed on the host (Second)
hostTickRate                                 54472340                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17692284                       # Number of bytes of host memory used (Byte)
simInsts                                     50000004                       # Number of instructions simulated (Count)
simOps                                       50000004                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   222665                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     222665                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  12231908000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         24463817                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        79372149                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       71                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       71927080                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  36440                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             29372202                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          16460525                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  14                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            24455773                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.941108                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.754050                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   9542120     39.02%     39.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1002750      4.10%     43.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    916582      3.75%     46.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1511543      6.18%     53.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2304963      9.43%     62.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3263301     13.34%     75.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3106261     12.70%     88.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2083410      8.52%     97.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    724843      2.96%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              24455773                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   62802     13.04%     13.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   2011      0.42%     13.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                  207384     43.06%     56.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  5448      1.13%     57.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                 12141      2.52%     60.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    65      0.01%     60.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     60.18% # attempts to use FU when none available (Count)
