
---------- Begin Simulation Statistics ----------
simSeconds                                   0.035091                       # Number of seconds simulated (Second)
simTicks                                  35091410500                       # Number of ticks simulated (Tick)
finalTick                                 35091410500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    310.57                       # Real time elapsed on the host (Second)
hostTickRate                                112991521                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16916836                       # Number of bytes of host memory used (Byte)
simInsts                                     50000005                       # Number of instructions simulated (Count)
simOps                                       50000005                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   160996                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     160996                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  35091410500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         70182822                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50262160                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       47                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       56135539                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  22284                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               261954                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            215326                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   4                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            70148494                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.800239                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.520035                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  48294962     68.85%     68.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   8401549     11.98%     80.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4299091      6.13%     86.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2978585      4.25%     91.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2972448      4.24%     95.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1583343      2.26%     97.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1093065      1.56%     99.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    368452      0.53%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    156999      0.22%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              70148494                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    9796      0.14%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     21      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    26      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              1345323     18.55%     18.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            195186      2.69%     21.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv               4173360     57.53%     78.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 5904      0.08%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     78.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     78.99% # attempts to use FU when none available (Count)
