
---------- Begin Simulation Statistics ----------
simSeconds                                   0.030698                       # Number of seconds simulated (Second)
simTicks                                  30697867500                       # Number of ticks simulated (Tick)
finalTick                                 30697867500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    229.31                       # Real time elapsed on the host (Second)
hostTickRate                                133868339                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18620024                       # Number of bytes of host memory used (Byte)
simInsts                                     50000000                       # Number of instructions simulated (Count)
simOps                                       50000000                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   218042                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     218042                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  30697867500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         61395736                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50476136                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       34                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       50587516                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    124                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               475928                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            466644                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            61393811                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.823984                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.410239                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  41775993     68.05%     68.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5016706      8.17%     76.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4786812      7.80%     84.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5399843      8.80%     92.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2819793      4.59%     97.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1068508      1.74%     99.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    507664      0.83%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     17975      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       517      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              61393811                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     517     85.88%     85.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     85.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     85.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     85.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     85.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     85.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     85.88% # attempts to use FU when none available (Count)
