
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029403                       # Number of seconds simulated (Second)
simTicks                                  29402845000                       # Number of ticks simulated (Tick)
finalTick                                 29402845000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    224.52                       # Real time elapsed on the host (Second)
hostTickRate                                130961531                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18504312                       # Number of bytes of host memory used (Byte)
simInsts                                     50000005                       # Number of instructions simulated (Count)
simOps                                       50000005                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   222702                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     222702                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  29402845000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         58805691                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50892298                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       50797306                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    294                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               892086                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            908847                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            58803486                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.863849                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.493207                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  39753734     67.60%     67.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5114355      8.70%     76.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4200299      7.14%     83.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4863257      8.27%     91.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2626500      4.47%     96.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1532233      2.61%     98.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    515716      0.88%     99.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    148015      0.25%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     49377      0.08%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              58803486                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    6698     97.85%     97.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     97.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     97.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     97.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     97.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     97.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     97.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     97.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     97.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     97.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     97.85% # attempts to use FU when none available (Count)
