
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009085                       # Number of seconds simulated (Second)
simTicks                                   9084855000                       # Number of ticks simulated (Tick)
finalTick                                  9084855000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    181.86                       # Real time elapsed on the host (Second)
hostTickRate                                 49954963                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16914784                       # Number of bytes of host memory used (Byte)
simInsts                                     50000004                       # Number of instructions simulated (Count)
simOps                                       50000004                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   274935                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     274935                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   9084855000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         18169711                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        61182733                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       58242997                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  33808                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11182567                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6144098                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            18167304                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.205924                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.606920                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4052049     22.30%     22.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1749563      9.63%     31.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2265590     12.47%     44.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2590077     14.26%     58.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1728155      9.51%     68.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1674640      9.22%     77.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1480474      8.15%     85.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    990689      5.45%     90.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1636067      9.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              18167304                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   37260      0.99%      0.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 17349      0.46%      1.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                    18      0.00%      1.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                  9486      0.25%      1.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               868143     23.02%     24.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           1136016     30.12%     54.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     54.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 1710      0.05%     54.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     54.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     54.88% # attempts to use FU when none available (Count)
