
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010071                       # Number of seconds simulated (Second)
simTicks                                  10071027000                       # Number of ticks simulated (Tick)
finalTick                                 10071027000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    217.07                       # Real time elapsed on the host (Second)
hostTickRate                                 46396334                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16948856                       # Number of bytes of host memory used (Byte)
simInsts                                     50000003                       # Number of instructions simulated (Count)
simOps                                       50000053                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   230345                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     230346                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  10071027000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         20142055                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        55618216                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      311                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       53707328                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  66054                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5618407                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3148734                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 138                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            19979605                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.688108                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.565189                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7456081     37.32%     37.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    969822      4.85%     42.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1698269      8.50%     50.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1757922      8.80%     59.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2320443     11.61%     71.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2121225     10.62%     81.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2068248     10.35%     92.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    930943      4.66%     96.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    656652      3.29%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              19979605                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  223667      7.70%      7.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      7.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      37      0.00%      7.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     1      0.00%      7.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%      7.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      7.70% # attempts to use FU when none available (Count)
