
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005918                       # Number of seconds simulated (Second)
simTicks                                   5917751500                       # Number of ticks simulated (Tick)
finalTick                                  5917751500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    208.01                       # Real time elapsed on the host (Second)
hostTickRate                                 28449685                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16946808                       # Number of bytes of host memory used (Byte)
simInsts                                     50000002                       # Number of instructions simulated (Count)
simOps                                       50000002                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   240376                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     240376                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   5917751500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11835504                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        51814427                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    33829                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       51251241                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  57436                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1848223                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1093289                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 428                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11760176                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.358034                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.236533                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1036621      8.81%      8.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    467590      3.98%     12.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    984901      8.37%     21.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1285476     10.93%     32.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1894212     16.11%     48.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2019716     17.17%     65.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2093120     17.80%     83.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1105047      9.40%     92.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    873493      7.43%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11760176                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  259000      8.42%      8.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      8.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      8.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      8.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      8.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      8.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      8.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      8.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      8.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      8.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      8.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      8.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      8.42% # attempts to use FU when none available (Count)
