
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011388                       # Number of seconds simulated (Second)
simTicks                                  11388118500                       # Number of ticks simulated (Tick)
finalTick                                 11388118500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    251.26                       # Real time elapsed on the host (Second)
hostTickRate                                 45324457                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16953980                       # Number of bytes of host memory used (Byte)
simInsts                                     50000003                       # Number of instructions simulated (Count)
simOps                                       50000026                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   198999                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     198999                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  11388118500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         22776239                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        54830827                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     5852                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       53314973                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 104740                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4836579                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2774651                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 153                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            22605599                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.358485                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.751957                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  11412870     50.49%     50.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    722538      3.20%     53.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    864018      3.82%     57.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1302260      5.76%     63.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2213021      9.79%     73.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1879716      8.32%     81.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1931083      8.54%     89.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1120287      4.96%     94.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1159806      5.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              22605599                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  170839      4.79%      4.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    137      0.00%      4.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     300      0.01%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%      4.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%      4.80% # attempts to use FU when none available (Count)
