
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007323                       # Number of seconds simulated (Second)
simTicks                                   7323010500                       # Number of ticks simulated (Tick)
finalTick                                  7323010500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    221.23                       # Real time elapsed on the host (Second)
hostTickRate                                 33101308                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16937592                       # Number of bytes of host memory used (Byte)
simInsts                                     50000005                       # Number of instructions simulated (Count)
simOps                                       50000005                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   226009                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     226009                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   7323010500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         14646022                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        55968708                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    24270                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       54106469                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 135078                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5992949                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3414637                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2023                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            14598512                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.706300                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.494842                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2458377     16.84%     16.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1057079      7.24%     24.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1418174      9.71%     33.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1590091     10.89%     44.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2106450     14.43%     59.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1993580     13.66%     72.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1833336     12.56%     85.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1082347      7.41%     92.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1059078      7.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              14598512                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   27728      0.69%      0.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1061      0.03%      0.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  1112      0.03%      0.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  1608      0.04%      0.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                  7088      0.18%      0.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               161662      4.03%      4.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            231096      5.75%     10.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                 12875      0.32%     11.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                18294      0.46%     11.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     11.52% # attempts to use FU when none available (Count)
