
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008776                       # Number of seconds simulated (Second)
simTicks                                   8775836500                       # Number of ticks simulated (Tick)
finalTick                                  8775836500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    185.09                       # Real time elapsed on the host (Second)
hostTickRate                                 47413384                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16938616                       # Number of bytes of host memory used (Byte)
simInsts                                     50000002                       # Number of instructions simulated (Count)
simOps                                       50000172                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   270136                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     270137                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   8775836500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         17551674                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        51516550                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1368                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       51114147                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  48420                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1517714                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            967059                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 344                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            17511408                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.918906                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.606616                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6258963     35.74%     35.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    727005      4.15%     39.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    955830      5.46%     45.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1153689      6.59%     51.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2988206     17.06%     69.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1252108      7.15%     76.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2974213     16.98%     93.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    655379      3.74%     96.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    546015      3.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              17511408                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  186516     19.73%     19.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     19.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     19.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  3410      0.36%     20.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  5753      0.61%     20.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   113      0.01%     20.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     20.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     20.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     20.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     20.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     20.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     20.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     20.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     20.71% # attempts to use FU when none available (Count)
