
---------- Begin Simulation Statistics ----------
simSeconds                                   0.048014                       # Number of seconds simulated (Second)
simTicks                                  48014293500                       # Number of ticks simulated (Tick)
finalTick                                 48014293500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    298.17                       # Real time elapsed on the host (Second)
hostTickRate                                161028947                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16941688                       # Number of bytes of host memory used (Byte)
simInsts                                     50000002                       # Number of instructions simulated (Count)
simOps                                       50000371                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   167688                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     167690                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  48014293500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         96028589                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        54328498                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4299                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       53966509                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 114411                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4332263                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1989657                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 973                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            95859446                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.562975                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.633539                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  81038131     84.54%     84.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3812507      3.98%     88.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2554765      2.67%     91.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2235440      2.33%     93.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1429587      1.49%     95.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    974441      1.02%     96.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1097645      1.15%     97.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    573711      0.60%     97.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2143219      2.24%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              95859446                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  420462     37.31%     37.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     37.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     37.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     37.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     37.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     37.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     37.31% # attempts to use FU when none available (Count)
