
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011170                       # Number of seconds simulated (Second)
simTicks                                  11169860500                       # Number of ticks simulated (Tick)
finalTick                                 11169860500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    763.74                       # Real time elapsed on the host (Second)
hostTickRate                                 14625249                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   23342644                       # Number of bytes of host memory used (Byte)
simInsts                                     50000000                       # Number of instructions simulated (Count)
simOps                                       50000000                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    65467                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      65467                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  11169860500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         22339722                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        66887268                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       62064145                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  97642                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             16887270                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           9019335                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            22337503                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.778473                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.690551                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8809328     39.44%     39.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    902320      4.04%     43.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1432524      6.41%     49.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1568663      7.02%     56.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2412918     10.80%     67.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2567237     11.49%     79.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2078461      9.30%     88.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1896251      8.49%     97.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    669801      3.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              22337503                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  727660     67.04%     67.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     67.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     67.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     67.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     67.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     67.04% # attempts to use FU when none available (Count)
