
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007154                       # Number of seconds simulated (Second)
simTicks                                   7154399000                       # Number of ticks simulated (Tick)
finalTick                                  7154399000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    361.77                       # Real time elapsed on the host (Second)
hostTickRate                                 19776338                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   22264372                       # Number of bytes of host memory used (Byte)
simInsts                                     50000003                       # Number of instructions simulated (Count)
simOps                                       50000003                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   138211                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     138211                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   7154399000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         14308799                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50492619                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       50408274                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  19610                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               492543                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            306855                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            14273745                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.531538                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.796372                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3976723     27.86%     27.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    693330      4.86%     32.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    910909      6.38%     39.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1068391      7.49%     46.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1576709     11.05%     57.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1631519     11.43%     69.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1809827     12.68%     81.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1486136     10.41%     92.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1120201      7.85%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              14273745                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  799269     49.81%     49.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     49.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     49.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   230      0.01%     49.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   220      0.01%     49.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    62      0.00%     49.84% # attempts to use FU when none available (Count)
