
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020688                       # Number of seconds simulated (Second)
simTicks                                  20687748500                       # Number of ticks simulated (Tick)
finalTick                                 20687748500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1104.92                       # Real time elapsed on the host (Second)
hostTickRate                                 18723318                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   23653936                       # Number of bytes of host memory used (Byte)
simInsts                                     50000000                       # Number of instructions simulated (Count)
simOps                                       50000000                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    45252                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      45252                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  20687748500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         41375507                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        74597126                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       54                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       66678705                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 407820                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             24597145                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          13768819                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  21                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            41280189                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.615271                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.308954                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  23413089     56.72%     56.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3143530      7.62%     64.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2996889      7.26%     71.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2983501      7.23%     78.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2469523      5.98%     84.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2194929      5.32%     90.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1874099      4.54%     94.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1143469      2.77%     97.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1061160      2.57%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              41280189                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  469173     26.23%     26.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   7337      0.41%     26.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   12110      0.68%     27.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     27.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                    89      0.00%     27.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     27.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     27.32% # attempts to use FU when none available (Count)
