
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020020                       # Number of seconds simulated (Second)
simTicks                                  20020156500                       # Number of ticks simulated (Tick)
finalTick                                 20020156500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    571.06                       # Real time elapsed on the host (Second)
hostTickRate                                 35058145                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   22055476                       # Number of bytes of host memory used (Byte)
simInsts                                     50000001                       # Number of instructions simulated (Count)
simOps                                       50000001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    87557                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      87557                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  20020156500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         40040315                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50224366                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       43                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       50395234                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2416                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               224310                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            166948                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   4                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            40025426                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.259081                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.726640                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  19150402     47.85%     47.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   8326952     20.80%     68.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5350353     13.37%     82.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2905558      7.26%     89.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1652211      4.13%     93.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1008231      2.52%     95.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    811066      2.03%     97.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    430717      1.08%     99.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    389936      0.97%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              40025426                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   30557      0.07%      0.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                343131      0.82%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   107      0.00%      0.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                435138      1.04%      1.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult             14490802     34.51%     36.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           9739411     23.19%     59.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv               5807850     13.83%     73.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc               706356      1.68%     75.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt             10259211     24.43%     99.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     99.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     99.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     99.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     99.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     99.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     99.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     99.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     99.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     99.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     99.57% # attempts to use FU when none available (Count)
