
---------- Begin Simulation Statistics ----------
simSeconds                                   0.059816                       # Number of seconds simulated (Second)
simTicks                                  59816397000                       # Number of ticks simulated (Tick)
finalTick                                 59816397000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1544.08                       # Real time elapsed on the host (Second)
hostTickRate                                 38739154                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   22285872                       # Number of bytes of host memory used (Byte)
simInsts                                     50000000                       # Number of instructions simulated (Count)
simOps                                       50000000                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    32382                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      32382                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  59816397000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        119632795                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        87801055                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       79795542                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2637465                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             37800979                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          21603585                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples           119632197                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.667007                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.799375                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  99315859     83.02%     83.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5062538      4.23%     87.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3017709      2.52%     89.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1990448      1.66%     91.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1831874      1.53%     92.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2101207      1.76%     94.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1894392      1.58%     96.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1819001      1.52%     97.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2599169      2.17%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             119632197                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   22704      0.24%      0.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      0.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      0.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      0.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%      0.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      0.24% # attempts to use FU when none available (Count)
