
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008167                       # Number of seconds simulated (Second)
simTicks                                   8166620000                       # Number of ticks simulated (Tick)
finalTick                                  8166620000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    386.77                       # Real time elapsed on the host (Second)
hostTickRate                                 21114944                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   22455856                       # Number of bytes of host memory used (Byte)
simInsts                                     50000006                       # Number of instructions simulated (Count)
simOps                                       50000006                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   129276                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     129276                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   8166620000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         16333241                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        51054933                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       50710684                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  21645                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1054880                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            677805                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            16286720                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.113622                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.729165                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4616602     28.35%     28.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1588314      9.75%     38.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1489433      9.15%     47.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1459548      8.96%     56.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1595463      9.80%     66.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1534279      9.42%     75.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1567446      9.62%     85.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1178143      7.23%     92.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1257492      7.72%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              16286720                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  545547     15.47%     15.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     15.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     15.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  6041      0.17%     15.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  5577      0.16%     15.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                  2728      0.08%     15.87% # attempts to use FU when none available (Count)
