
---------- Begin Simulation Statistics ----------
simSeconds                                   0.017882                       # Number of seconds simulated (Second)
simTicks                                  17882141000                       # Number of ticks simulated (Tick)
finalTick                                 17882141000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    386.44                       # Real time elapsed on the host (Second)
hostTickRate                                 46273972                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   22507056                       # Number of bytes of host memory used (Byte)
simInsts                                     50000005                       # Number of instructions simulated (Count)
simOps                                       50000005                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   129386                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     129386                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  17882141000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         35764283                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50011637                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       50782665                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    496                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                11532                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              9477                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            35763070                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.419975                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.009155                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  19008934     53.15%     53.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4448058     12.44%     65.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4007483     11.21%     76.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2514004      7.03%     83.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2067072      5.78%     89.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1396844      3.91%     93.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1228838      3.44%     96.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    582603      1.63%     98.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    509234      1.42%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              35763070                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   17633      0.08%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  8892      0.04%      0.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.13% # attempts to use FU when none available (Count)
