
---------- Begin Simulation Statistics ----------
simSeconds                                   0.014112                       # Number of seconds simulated (Second)
simTicks                                  14111784000                       # Number of ticks simulated (Tick)
finalTick                                 14111784000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    544.64                       # Real time elapsed on the host (Second)
hostTickRate                                 25910130                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17108360                       # Number of bytes of host memory used (Byte)
simInsts                                     50000002                       # Number of instructions simulated (Count)
simOps                                       50000002                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    91803                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      91803                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  14111784000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         28223571                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        52262137                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       51710403                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  56253                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2262058                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1508527                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            28200076                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.833697                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.525765                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  15438021     54.74%     54.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2190381      7.77%     62.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1830538      6.49%     69.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1712214      6.07%     75.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1702804      6.04%     81.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1507254      5.34%     86.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1554395      5.51%     91.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1067304      3.78%     95.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1197165      4.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              28200076                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  554411     16.70%     16.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     16.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     16.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  2934      0.09%     16.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  2831      0.09%     16.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                  1051      0.03%     16.91% # attempts to use FU when none available (Count)
