
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006289                       # Number of seconds simulated (Second)
simTicks                                   6288833500                       # Number of ticks simulated (Tick)
finalTick                                  6288833500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    386.61                       # Real time elapsed on the host (Second)
hostTickRate                                 16266536                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17096072                       # Number of bytes of host memory used (Byte)
simInsts                                     50000005                       # Number of instructions simulated (Count)
simOps                                       50000005                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   129329                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     129329                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   6288833500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         12577668                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50356438                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       50262406                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8285                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               356377                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            230481                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            12553257                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.003933                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.832036                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2779416     22.14%     22.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    550585      4.39%     26.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    868505      6.92%     33.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    998136      7.95%     41.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1187034      9.46%     50.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1417203     11.29%     62.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1719361     13.70%     75.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1434050     11.42%     87.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1598967     12.74%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              12553257                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  505836     38.01%     38.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     38.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     38.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   206      0.02%     38.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   200      0.02%     38.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    25      0.00%     38.05% # attempts to use FU when none available (Count)
