
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009283                       # Number of seconds simulated (Second)
simTicks                                   9282775000                       # Number of ticks simulated (Tick)
finalTick                                  9282775000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    671.52                       # Real time elapsed on the host (Second)
hostTickRate                                 13823492                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17176964                       # Number of bytes of host memory used (Byte)
simInsts                                     50000001                       # Number of instructions simulated (Count)
simOps                                       50000001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    74458                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      74458                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   9282775000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         18565552                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        52683604                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       54                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       51720741                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  72762                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2683638                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1793521                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            18502644                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.795316                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.698451                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7310712     39.51%     39.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    882253      4.77%     44.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    828086      4.48%     48.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1081596      5.85%     54.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2532525     13.69%     68.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2120856     11.46%     79.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1798960      9.72%     89.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1171860      6.33%     95.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    775796      4.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              18502644                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  680570     29.98%     29.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 105195      4.63%     34.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   94981      4.18%     38.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     38.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     38.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     38.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     38.80% # attempts to use FU when none available (Count)
