
---------- Begin Simulation Statistics ----------
simSeconds                                   0.035965                       # Number of seconds simulated (Second)
simTicks                                  35965136500                       # Number of ticks simulated (Tick)
finalTick                                 35965136500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    702.24                       # Real time elapsed on the host (Second)
hostTickRate                                 51215211                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17224072                       # Number of bytes of host memory used (Byte)
simInsts                                     50000007                       # Number of instructions simulated (Count)
simOps                                       50000007                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    71201                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      71201                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  35965136500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         71930274                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50462333                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       52                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       51117287                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  11617                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               462238                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            382813                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   9                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            71898552                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.710964                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.475902                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  51619106     71.79%     71.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   8198727     11.40%     83.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4186557      5.82%     89.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2843640      3.96%     92.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2255041      3.14%     96.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1067784      1.49%     97.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    782285      1.09%     98.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    601564      0.84%     99.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    343848      0.48%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              71898552                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   21823      0.43%      0.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     18      0.00%      0.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     3      0.00%      0.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              1189035     23.48%     23.91% # attempts to use FU when none available (Count)
