
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010016                       # Number of seconds simulated (Second)
simTicks                                  10015805500                       # Number of ticks simulated (Tick)
finalTick                                 10015805500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    742.00                       # Real time elapsed on the host (Second)
hostTickRate                                 13498434                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17195400                       # Number of bytes of host memory used (Byte)
simInsts                                     50000002                       # Number of instructions simulated (Count)
simOps                                       50000002                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    67386                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      67386                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  10015805500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         20031612                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        59866797                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       57192701                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  22253                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              9866717                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5507571                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            20029559                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.855415                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.244273                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3595736     17.95%     17.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3097602     15.47%     33.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3402452     16.99%     50.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2120878     10.59%     60.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3275591     16.35%     77.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1618364      8.08%     85.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1494463      7.46%     92.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    629185      3.14%     96.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    795288      3.97%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              20029559                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4067      0.27%      0.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     32      0.00%      0.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  1112      0.07%      0.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     3      0.00%      0.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                  1633      0.11%      0.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               396367     26.36%     26.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            404805     26.92%     53.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     53.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                   56      0.00%     53.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     53.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     53.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     53.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     53.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     53.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     53.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     53.74% # attempts to use FU when none available (Count)
