
---------- Begin Simulation Statistics ----------
simSeconds                                   0.049530                       # Number of seconds simulated (Second)
simTicks                                  49530214500                       # Number of ticks simulated (Tick)
finalTick                                 49530214500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1860.39                       # Real time elapsed on the host (Second)
hostTickRate                                 26623502                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17359236                       # Number of bytes of host memory used (Byte)
simInsts                                     50000001                       # Number of instructions simulated (Count)
simOps                                       50000001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    26876                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      26876                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  49530214500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         99060430                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        65825682                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       34                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       57590046                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  16197                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             15825620                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14839956                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            99055869                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.581390                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.296220                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  75472831     76.19%     76.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   8739576      8.82%     85.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5356589      5.41%     90.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4693953      4.74%     95.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2166491      2.19%     97.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1265627      1.28%     98.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    741686      0.75%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    341710      0.34%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    277406      0.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              99055869                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  412896     88.66%     88.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      6      0.00%     88.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     88.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     88.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     88.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     88.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                  130      0.03%     88.69% # attempts to use FU when none available (Count)
