
---------- Begin Simulation Statistics ----------
simSeconds                                   0.058284                       # Number of seconds simulated (Second)
simTicks                                  58284116500                       # Number of ticks simulated (Tick)
finalTick                                 58284116500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    613.44                       # Real time elapsed on the host (Second)
hostTickRate                                 95011159                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   22014540                       # Number of bytes of host memory used (Byte)
simInsts                                     50000001                       # Number of instructions simulated (Count)
simOps                                       50000001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    81507                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      81507                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  58284116500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        116568234                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50012492                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       50600548                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    471                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                12416                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              9036                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples           116566457                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.434092                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.214902                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  96474865     82.76%     82.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   8353629      7.17%     89.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4411875      3.78%     93.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2209024      1.90%     95.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1830894      1.57%     97.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1453586      1.25%     98.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1027662      0.88%     99.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    400757      0.34%     99.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    404165      0.35%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             116566457                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     289      0.02%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     3      0.00%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.02% # attempts to use FU when none available (Count)
