
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011716                       # Number of seconds simulated (Second)
simTicks                                  11716127500                       # Number of ticks simulated (Tick)
finalTick                                 11716127500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1186.52                       # Real time elapsed on the host (Second)
hostTickRate                                  9874391                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   22489672                       # Number of bytes of host memory used (Byte)
simInsts                                     50000005                       # Number of instructions simulated (Count)
simOps                                       50000005                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    42140                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      42140                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  11716127500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         23432256                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        65331403                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       59141450                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 135979                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             15331363                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          10843459                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            23421615                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.525080                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.600404                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8881903     37.92%     37.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1998475      8.53%     46.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2124208      9.07%     55.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2123828      9.07%     64.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2563705     10.95%     75.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1804967      7.71%     83.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1542638      6.59%     89.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1067536      4.56%     94.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1314355      5.61%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              23421615                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  495996     23.97%     23.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     23.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     23.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     23.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     23.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     23.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     23.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     23.97% # attempts to use FU when none available (Count)
