
---------- Begin Simulation Statistics ----------
simSeconds                                   0.014815                       # Number of seconds simulated (Second)
simTicks                                  14815192500                       # Number of ticks simulated (Tick)
finalTick                                 14815192500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1459.36                       # Real time elapsed on the host (Second)
hostTickRate                                 10151838                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   23608908                       # Number of bytes of host memory used (Byte)
simInsts                                     50000001                       # Number of instructions simulated (Count)
simOps                                       50001628                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    34262                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      34263                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  14815192500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         29630390                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        57173804                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    14264                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       55088939                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 228804                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7186389                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4022699                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2894                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            29153935                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.889588                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.524051                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  15938456     54.67%     54.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1718798      5.90%     60.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1772825      6.08%     66.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1957809      6.72%     73.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2038677      6.99%     80.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1879447      6.45%     86.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1645913      5.65%     92.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1092437      3.75%     96.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1109573      3.81%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              29153935                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  318101     11.19%     11.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1058      0.04%     11.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   19818      0.70%     11.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     11.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     11.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     11.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     11.93% # attempts to use FU when none available (Count)
