
---------- Begin Simulation Statistics ----------
simSeconds                                   0.016558                       # Number of seconds simulated (Second)
simTicks                                  16557685500                       # Number of ticks simulated (Tick)
finalTick                                 16557685500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    581.16                       # Real time elapsed on the host (Second)
hostTickRate                                 28490973                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   24709708                       # Number of bytes of host memory used (Byte)
simInsts                                     50000001                       # Number of instructions simulated (Count)
simOps                                       50000001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    86035                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      86035                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  16557685500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         33115372                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50343690                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       43                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       51324537                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8228                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               343728                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            139068                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  10                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            33104199                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.550394                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.847370                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  14454500     43.66%     43.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6698222     20.23%     63.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2618546      7.91%     71.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2865156      8.65%     80.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2164751      6.54%     87.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3890818     11.75%     98.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    279393      0.84%     99.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     58201      0.18%     99.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     74612      0.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              33104199                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   32036      0.86%      0.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.86% # attempts to use FU when none available (Count)
