
---------- Begin Simulation Statistics ----------
simSeconds                                   0.013707                       # Number of seconds simulated (Second)
simTicks                                  13707143500                       # Number of ticks simulated (Tick)
finalTick                                 13707143500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    953.22                       # Real time elapsed on the host (Second)
hostTickRate                                 14379784                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   29162060                       # Number of bytes of host memory used (Byte)
simInsts                                     50000002                       # Number of instructions simulated (Count)
simOps                                       50001122                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    52454                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      52455                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  13707143500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         27414289                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50642975                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2649                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       51057077                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  24387                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               644499                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            338861                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 152                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            27388085                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.864208                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.679378                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   9757750     35.63%     35.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3041550     11.11%     46.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1067283      3.90%     50.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10608317     38.73%     89.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    960214      3.51%     92.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1689118      6.17%     99.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    139638      0.51%     99.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     61984      0.23%     99.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     62231      0.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              27388085                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   20181      2.25%      2.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     783      0.09%      2.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.34% # attempts to use FU when none available (Count)
