
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020265                       # Number of seconds simulated (Second)
simTicks                                  20265306000                       # Number of ticks simulated (Tick)
finalTick                                 20265306000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1919.10                       # Real time elapsed on the host (Second)
hostTickRate                                 10559774                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   23633480                       # Number of bytes of host memory used (Byte)
simInsts                                     50000006                       # Number of instructions simulated (Count)
simOps                                       50000006                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    26054                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      26054                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  20265306000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         40530622                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        72051203                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       40                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       64947673                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 356902                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             22051175                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12408632                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   7                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            40436564                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.606162                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.309764                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  23122193     57.18%     57.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3028096      7.49%     64.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2823529      6.98%     71.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2878401      7.12%     78.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2457914      6.08%     84.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2137158      5.29%     90.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1831935      4.53%     94.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1130444      2.80%     97.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1026894      2.54%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              40436564                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  461723     26.64%     26.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  11002      0.63%     27.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   13830      0.80%     28.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     28.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                    69      0.00%     28.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     28.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     28.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     28.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     28.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                  383      0.02%     28.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     28.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     28.10% # attempts to use FU when none available (Count)
