
---------- Begin Simulation Statistics ----------
simSeconds                                   0.014295                       # Number of seconds simulated (Second)
simTicks                                  14294707000                       # Number of ticks simulated (Tick)
finalTick                                 14294707000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1054.01                       # Real time elapsed on the host (Second)
hostTickRate                                 13562175                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   23285308                       # Number of bytes of host memory used (Byte)
simInsts                                     50000003                       # Number of instructions simulated (Count)
simOps                                       50000003                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    47438                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      47438                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  14294707000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         28589419                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        71986720                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       65124098                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 671649                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             21986710                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          13184552                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            28542401                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.281662                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.708241                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  13942271     48.85%     48.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1577021      5.53%     54.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1663870      5.83%     60.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1944076      6.81%     67.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2184199      7.65%     74.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2206937      7.73%     82.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2099322      7.36%     89.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1377944      4.83%     94.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1546761      5.42%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              28542401                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  474790     17.65%     17.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   8639      0.32%     17.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   21678      0.81%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     18.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     18.78% # attempts to use FU when none available (Count)
