
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005786                       # Number of seconds simulated (Second)
simTicks                                   5786185500                       # Number of ticks simulated (Tick)
finalTick                                  5786185500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    823.54                       # Real time elapsed on the host (Second)
hostTickRate                                  7025951                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   23033420                       # Number of bytes of host memory used (Byte)
simInsts                                     50000002                       # Number of instructions simulated (Count)
simOps                                       50000002                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    60713                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      60713                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   5786185500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11572377                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        52303919                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      116                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       51380827                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  47628                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2304006                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1572792                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11532260                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.455400                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.425225                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1770930     15.36%     15.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    304097      2.64%     17.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    304270      2.64%     20.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    635020      5.51%     26.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1940900     16.83%     42.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1859456     16.12%     59.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1812769     15.72%     74.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2612908     22.66%     97.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    291910      2.53%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11532260                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  137769     25.13%     25.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  49516      9.03%     34.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   83128     15.17%     49.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     49.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     49.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     49.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    1      0.00%     49.33% # attempts to use FU when none available (Count)
