
---------- Begin Simulation Statistics ----------
simSeconds                                   0.801808                       # Number of seconds simulated (Second)
simTicks                                 801807543000                       # Number of ticks simulated (Tick)
finalTick                                801807543000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   6655.93                       # Real time elapsed on the host (Second)
hostTickRate                                120465105                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   25196104                       # Number of bytes of host memory used (Byte)
simInsts                                     50000000                       # Number of instructions simulated (Count)
simOps                                       50000000                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     7512                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                       7512                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 801807543000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1603615087                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       122714678                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       97485922                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               11587254                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             72714634                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          67250589                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples          1603614288                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.060791                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.445283                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1554132088     96.91%     96.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  30873504      1.93%     98.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7643774      0.48%     99.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3004151      0.19%     99.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1993591      0.12%     99.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3395087      0.21%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1111573      0.07%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    990980      0.06%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    469540      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1603614288                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   94362      5.12%      5.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      5.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      5.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.12% # attempts to use FU when none available (Count)
