
---------- Begin Simulation Statistics ----------
simSeconds                                   0.040979                       # Number of seconds simulated (Second)
simTicks                                  40978683500                       # Number of ticks simulated (Tick)
finalTick                                 40978683500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    707.56                       # Real time elapsed on the host (Second)
hostTickRate                                 57915794                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   22504012                       # Number of bytes of host memory used (Byte)
simInsts                                     50000007                       # Number of instructions simulated (Count)
simOps                                       50000007                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    70666                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      70666                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  40978683500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         81957368                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50000779                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       50699020                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     97                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                  738                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined               687                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            81956350                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.618610                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.478206                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  64696124     78.94%     78.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3842244      4.69%     83.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6146770      7.50%     91.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1708174      2.08%     93.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2229001      2.72%     95.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1424454      1.74%     97.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    648468      0.79%     98.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    579288      0.71%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    681827      0.83%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              81956350                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       2      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  59474      1.58%      1.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      1.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.58% # attempts to use FU when none available (Count)
