
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011250                       # Number of seconds simulated (Second)
simTicks                                  11249961000                       # Number of ticks simulated (Tick)
finalTick                                 11249961000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1057.11                       # Real time elapsed on the host (Second)
hostTickRate                                 10642139                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   22722124                       # Number of bytes of host memory used (Byte)
simInsts                                     50000003                       # Number of instructions simulated (Count)
simOps                                       50000003                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    47299                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      47299                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  11249961000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         22499923                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        62650467                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       59482388                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  24423                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12650440                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6588836                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            22497057                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.644008                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.201544                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4938975     21.95%     21.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3864895     17.18%     39.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2674319     11.89%     51.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2897780     12.88%     63.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3570685     15.87%     79.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1842104      8.19%     87.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1457827      6.48%     94.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    668483      2.97%     97.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    581989      2.59%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              22497057                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   36958      2.39%      2.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     13      0.00%      2.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  2882      0.19%      2.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    50      0.00%      2.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               406977     26.30%     28.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            411650     26.60%     55.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     55.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 2565      0.17%     55.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     55.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     55.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     55.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     55.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     55.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     55.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     55.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     55.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     55.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     55.65% # attempts to use FU when none available (Count)
