
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010117                       # Number of seconds simulated (Second)
simTicks                                  10116947500                       # Number of ticks simulated (Tick)
finalTick                                 10116947500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    900.76                       # Real time elapsed on the host (Second)
hostTickRate                                 11231547                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   22207052                       # Number of bytes of host memory used (Byte)
simInsts                                     50000001                       # Number of instructions simulated (Count)
simOps                                       50000001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    55509                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      55509                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  10116947500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         20233896                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        58777127                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       56721237                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  11604                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              8777039                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4306782                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            20230544                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.803743                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.187870                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3185662     15.75%     15.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3497828     17.29%     33.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3762707     18.60%     51.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3014488     14.90%     66.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2050587     10.14%     76.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2083542     10.30%     86.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1188809      5.88%     92.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    673749      3.33%     96.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    773172      3.82%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              20230544                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   55993      2.25%      2.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  1640      0.07%      2.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     3      0.00%      2.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                  1201      0.05%      2.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               625424     25.08%     27.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            671384     26.93%     54.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     54.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    2      0.00%     54.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     54.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     54.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     54.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     54.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     54.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     54.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     54.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     54.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     54.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     54.37% # attempts to use FU when none available (Count)
