
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010240                       # Number of seconds simulated (Second)
simTicks                                  10239888500                       # Number of ticks simulated (Tick)
finalTick                                 10239888500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1031.90                       # Real time elapsed on the host (Second)
hostTickRate                                  9923346                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   22790732                       # Number of bytes of host memory used (Byte)
simInsts                                     50000000                       # Number of instructions simulated (Count)
simOps                                       50000000                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    48454                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      48454                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  10239888500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         20479778                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        62346781                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       59390992                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  16943                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12346721                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           6167867                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            20477085                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.900364                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.365760                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4305007     21.02%     21.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2752392     13.44%     34.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2416900     11.80%     46.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3699288     18.07%     64.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2072033     10.12%     74.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1984779      9.69%     84.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1383595      6.76%     90.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    711389      3.47%     94.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1151702      5.62%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              20477085                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   50905      4.18%      4.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      4.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      4.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  1958      0.16%      4.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     1      0.00%      4.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    21      0.00%      4.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               259802     21.32%     25.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            374769     30.75%     56.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     56.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                  211      0.02%     56.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     56.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     56.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     56.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     56.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     56.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     56.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     56.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     56.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     56.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     56.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     56.43% # attempts to use FU when none available (Count)
