
---------- Begin Simulation Statistics ----------
simSeconds                                   0.032619                       # Number of seconds simulated (Second)
simTicks                                  32618929000                       # Number of ticks simulated (Tick)
finalTick                                 32618929000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    904.95                       # Real time elapsed on the host (Second)
hostTickRate                                 36045006                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   23393868                       # Number of bytes of host memory used (Byte)
simInsts                                     50000005                       # Number of instructions simulated (Count)
simOps                                       50000005                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    55252                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      55252                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  32618929000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         65237859                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        50463912                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    28691                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       50918665                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  20620                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               492580                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            295556                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 903                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            65209422                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.780848                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.793765                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  51152760     78.44%     78.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3111550      4.77%     83.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2158133      3.31%     86.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1996027      3.06%     89.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2124113      3.26%     92.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1571663      2.41%     95.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1350624      2.07%     97.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    912159      1.40%     98.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    832393      1.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              65209422                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   32160      1.20%      1.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     992      0.04%      1.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    60      0.00%      1.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   618      0.02%      1.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                  4102      0.15%      1.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               112356      4.21%      5.63% # attempts to use FU when none available (Count)
