
---------- Begin Simulation Statistics ----------
simSeconds                                   0.069129                       # Number of seconds simulated (Second)
simTicks                                  69128615500                       # Number of ticks simulated (Tick)
finalTick                                 69128615500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1510.68                       # Real time elapsed on the host (Second)
hostTickRate                                 45759902                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   24718912                       # Number of bytes of host memory used (Byte)
simInsts                                     50000000                       # Number of instructions simulated (Count)
simOps                                       50000000                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    33098                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      33098                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  69128615500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        138257232                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        87799480                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       73795334                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 508126                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             37799348                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          26517126                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples           138247921                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.533790                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.410298                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 112091080     81.08%     81.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9558927      6.91%     87.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4750077      3.44%     91.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4355011      3.15%     94.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2308500      1.67%     96.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1762362      1.27%     97.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1428818      1.03%     98.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    892666      0.65%     99.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1100480      0.80%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             138247921                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  383814     34.22%     34.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     34.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     34.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   541      0.05%     34.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                112124     10.00%     44.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    39      0.00%     44.27% # attempts to use FU when none available (Count)
