
---------- Begin Simulation Statistics ----------
simSeconds                                   0.046508                       # Number of seconds simulated (Second)
simTicks                                  46508335500                       # Number of ticks simulated (Tick)
finalTick                                 46508335500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1418.60                       # Real time elapsed on the host (Second)
hostTickRate                                 32784763                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   25909832                       # Number of bytes of host memory used (Byte)
simInsts                                     50000004                       # Number of instructions simulated (Count)
simOps                                       50000004                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    35246                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      35246                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  46508335500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         93016672                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        54308960                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       43                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       54101412                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  37201                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4308939                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            919444                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  10                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            92952261                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.582034                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.604448                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  78564089     84.52%     84.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2946794      3.17%     87.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2243923      2.41%     90.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1802749      1.94%     92.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1741016      1.87%     93.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2203116      2.37%     96.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1869547      2.01%     98.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    586617      0.63%     98.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    994410      1.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              92952261                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  344729     55.75%     55.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     55.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     55.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     55.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     55.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     55.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     55.75% # attempts to use FU when none available (Count)
