
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004825                       # Number of seconds simulated (Second)
simTicks                                   4824630500                       # Number of ticks simulated (Tick)
finalTick                                  4824630500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    204.25                       # Real time elapsed on the host (Second)
hostTickRate                                 23621720                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18977408                       # Number of bytes of host memory used (Byte)
simInsts                                     10000003                       # Number of instructions simulated (Count)
simOps                                       10000003                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    48961                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      48961                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   4824630500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          9649262                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11847306                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       11266529                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  44230                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1847303                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1116264                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples             9648409                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.167708                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.030274                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6539881     67.78%     67.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    580304      6.01%     73.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    516374      5.35%     79.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    386232      4.00%     83.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    576689      5.98%     89.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    475459      4.93%     94.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    322427      3.34%     97.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    132176      1.37%     98.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    118867      1.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               9648409                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   25386      3.23%      3.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    348      0.04%      3.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      3.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      3.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.27% # attempts to use FU when none available (Count)
