
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001857                       # Number of seconds simulated (Second)
simTicks                                   1856744500                       # Number of ticks simulated (Tick)
finalTick                                  1856744500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    241.14                       # Real time elapsed on the host (Second)
hostTickRate                                  7699987                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18983556                       # Number of bytes of host memory used (Byte)
simInsts                                     10000001                       # Number of instructions simulated (Count)
simOps                                       10000001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    41470                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      41470                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   1856744500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3713490                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        12714593                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       34                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       11361688                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  30747                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2714570                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2396883                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3708943                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.063322                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.380306                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    918036     24.75%     24.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    303382      8.18%     32.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    295721      7.97%     40.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    456575     12.31%     53.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    588617     15.87%     69.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    535089     14.43%     83.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    332603      8.97%     92.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    159752      4.31%     96.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    119168      3.21%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3708943                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   33773     21.69%     21.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     21.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     21.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     21.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     21.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     21.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     21.69% # attempts to use FU when none available (Count)
