
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001797                       # Number of seconds simulated (Second)
simTicks                                   1796965000                       # Number of ticks simulated (Tick)
finalTick                                  1796965000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    101.97                       # Real time elapsed on the host (Second)
hostTickRate                                 17622411                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18363008                       # Number of bytes of host memory used (Byte)
simInsts                                     10000000                       # Number of instructions simulated (Count)
simOps                                       10000000                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    98067                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      98067                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   1796965000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3593931                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10152892                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10130297                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   4348                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               152918                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             89521                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples             3568960                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.838445                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.775458                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1251614     35.07%     35.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    294823      8.26%     43.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    307511      8.62%     51.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    324715      9.10%     61.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    306273      8.58%     69.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    291508      8.17%     77.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    268489      7.52%     85.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    239475      6.71%     92.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    284552      7.97%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3568960                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   89214     23.14%     23.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     23.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     23.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   580      0.15%     23.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   235      0.06%     23.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   838      0.22%     23.56% # attempts to use FU when none available (Count)
