
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001767                       # Number of seconds simulated (Second)
simTicks                                   1767243500                       # Number of ticks simulated (Tick)
finalTick                                  1767243500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    107.74                       # Real time elapsed on the host (Second)
hostTickRate                                 16403400                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18443904                       # Number of bytes of host memory used (Byte)
simInsts                                     10000007                       # Number of instructions simulated (Count)
simOps                                       10000007                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    92819                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      92819                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   1767243500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3534488                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10206121                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10153483                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3999                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               206039                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            117954                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples             3508586                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.893896                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.547487                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    906896     25.85%     25.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    446045     12.71%     38.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    411634     11.73%     50.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    380543     10.85%     61.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    364252     10.38%     71.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    319182      9.10%     80.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    282628      8.06%     88.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    185393      5.28%     93.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    212013      6.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3508586                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   52426      9.95%      9.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      9.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      9.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  2145      0.41%     10.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  1221      0.23%     10.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                  1184      0.22%     10.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               136532     25.92%     36.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             97404     18.49%     55.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                 55695     10.57%     65.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 4658      0.88%     66.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                 4992      0.95%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     67.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     67.63% # attempts to use FU when none available (Count)
