
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009027                       # Number of seconds simulated (Second)
simTicks                                   9026725500                       # Number of ticks simulated (Tick)
finalTick                                  9026725500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    238.32                       # Real time elapsed on the host (Second)
hostTickRate                                 37876373                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   19407492                       # Number of bytes of host memory used (Byte)
simInsts                                     10000003                       # Number of instructions simulated (Count)
simOps                                       10000003                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    41960                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      41960                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   9026725500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         18053452                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11145294                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       50                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10831499                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  22851                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1145296                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            596132                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  17                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            18035946                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.600551                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.580018                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  14902383     82.63%     82.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    734215      4.07%     86.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    551445      3.06%     89.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    475985      2.64%     92.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    433257      2.40%     94.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    319571      1.77%     96.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    260633      1.45%     98.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    195898      1.09%     99.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    162559      0.90%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              18035946                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   42325     13.01%     13.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                    545      0.17%     13.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    3864      1.19%     14.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     14.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.36% # attempts to use FU when none available (Count)
