
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001994                       # Number of seconds simulated (Second)
simTicks                                   1993658500                       # Number of ticks simulated (Tick)
finalTick                                  1993658500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    135.65                       # Real time elapsed on the host (Second)
hostTickRate                                 14697563                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   20882052                       # Number of bytes of host memory used (Byte)
simInsts                                     10000001                       # Number of instructions simulated (Count)
simOps                                       10000065                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    73722                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      73722                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   1993658500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3987318                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10114651                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      922                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10097384                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3010                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               115495                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             46619                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 116                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3971044                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.542753                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.610126                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    714525     17.99%     17.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     45458      1.14%     19.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1521618     38.32%     57.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     26919      0.68%     58.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1540363     38.79%     96.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     34687      0.87%     97.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     42885      1.08%     98.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     20976      0.53%     99.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     23613      0.59%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3971044                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    5769      9.83%      9.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      9.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      9.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      9.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      9.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      9.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      9.83% # attempts to use FU when none available (Count)
