
---------- Begin Simulation Statistics ----------
simSeconds                                   0.058306                       # Number of seconds simulated (Second)
simTicks                                  58306178000                       # Number of ticks simulated (Tick)
finalTick                                 58306178000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    512.99                       # Real time elapsed on the host (Second)
hostTickRate                                113658441                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   22082180                       # Number of bytes of host memory used (Byte)
simInsts                                     10000002                       # Number of instructions simulated (Count)
simOps                                       10000002                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    19493                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      19493                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  58306178000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        116612357                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10129639                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10366413                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3224                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               129669                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             65306                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples           116599747                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.088906                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.493060                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 111736046     95.83%     95.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2368411      2.03%     97.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    287975      0.25%     98.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1495316      1.28%     99.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    658898      0.57%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     31403      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     12497      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      5093      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      4108      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             116599747                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     679      0.33%      0.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.33% # attempts to use FU when none available (Count)
