
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001758                       # Number of seconds simulated (Second)
simTicks                                   1758332500                       # Number of ticks simulated (Tick)
finalTick                                  1758332500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    168.85                       # Real time elapsed on the host (Second)
hostTickRate                                 10413841                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   19488384                       # Number of bytes of host memory used (Byte)
simInsts                                     10000001                       # Number of instructions simulated (Count)
simOps                                       10000001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    59226                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      59226                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   1758332500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3516666                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10144804                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10116499                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2003                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               144816                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             57556                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples             3511175                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.881229                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.038336                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    711095     20.25%     20.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    241350      6.87%     27.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    588045     16.75%     43.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    541245     15.41%     59.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    535802     15.26%     74.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    550310     15.67%     90.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    229393      6.53%     96.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    107272      3.06%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      6663      0.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3511175                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4570      3.93%      3.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      3.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      3.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      3.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.93% # attempts to use FU when none available (Count)
