
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003664                       # Number of seconds simulated (Second)
simTicks                                   3664294500                       # Number of ticks simulated (Tick)
finalTick                                  3664294500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    257.81                       # Real time elapsed on the host (Second)
hostTickRate                                 14213422                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   19412608                       # Number of bytes of host memory used (Byte)
simInsts                                     10000001                       # Number of instructions simulated (Count)
simOps                                       10000001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    38789                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      38789                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   3664294500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          7328590                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        12136487                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       45                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       11507154                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  73370                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2136520                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1203284                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  12                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7219830                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.593826                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.430381                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4512637     62.50%     62.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    341468      4.73%     67.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    314995      4.36%     71.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    417051      5.78%     77.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    348817      4.83%     82.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    493600      6.84%     89.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    350847      4.86%     93.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    207127      2.87%     96.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    233288      3.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7219830                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   90725     16.49%     16.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     16.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      36      0.01%     16.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.50% # attempts to use FU when none available (Count)
