
---------- Begin Simulation Statistics ----------
simSeconds                                   0.031310                       # Number of seconds simulated (Second)
simTicks                                  31310036500                       # Number of ticks simulated (Tick)
finalTick                                 31310036500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    332.87                       # Real time elapsed on the host (Second)
hostTickRate                                 94061027                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   21683844                       # Number of bytes of host memory used (Byte)
simInsts                                     10000001                       # Number of instructions simulated (Count)
simOps                                       10000001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    30042                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      30042                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  31310036500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         62620074                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10180998                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10504603                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   6480                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               180979                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            102707                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            62607912                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.167784                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.746654                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  58536670     93.50%     93.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1583516      2.53%     96.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    311324      0.50%     96.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1040526      1.66%     98.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    739447      1.18%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    213369      0.34%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    137474      0.22%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     37304      0.06%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      8282      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              62607912                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1502      0.53%      0.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.53% # attempts to use FU when none available (Count)
