
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004244                       # Number of seconds simulated (Second)
simTicks                                   4243521000                       # Number of ticks simulated (Tick)
finalTick                                  4243521000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    352.25                       # Real time elapsed on the host (Second)
hostTickRate                                 12046956                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   19071620                       # Number of bytes of host memory used (Byte)
simInsts                                     10000001                       # Number of instructions simulated (Count)
simOps                                       10000001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    28389                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      28389                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   4243521000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          8487044                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        15715215                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       73                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       13896954                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 111655                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5715287                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3362778                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  40                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             8402039                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.653998                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.360276                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4778811     56.88%     56.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    623303      7.42%     64.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    573064      6.82%     71.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    562371      6.69%     77.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    508359      6.05%     83.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    443290      5.28%     89.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    430406      5.12%     94.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    251392      2.99%     97.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    231043      2.75%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               8402039                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   96227     25.49%     25.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   3343      0.89%     26.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    3127      0.83%     27.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     27.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                    19      0.01%     27.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     27.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     27.21% # attempts to use FU when none available (Count)
