
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003593                       # Number of seconds simulated (Second)
simTicks                                   3592882000                       # Number of ticks simulated (Tick)
finalTick                                  3592882000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    295.28                       # Real time elapsed on the host (Second)
hostTickRate                                 12167692                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   19235456                       # Number of bytes of host memory used (Byte)
simInsts                                     10000003                       # Number of instructions simulated (Count)
simOps                                       10000003                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    33866                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      33866                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   3592882000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          7185766                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14611382                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       34                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       13233527                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 106541                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4611331                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2846750                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7109147                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.861479                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.502567                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3914647     55.06%     55.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    428785      6.03%     61.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    398576      5.61%     66.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    503715      7.09%     73.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    483249      6.80%     80.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    483921      6.81%     87.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    401706      5.65%     93.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    222776      3.13%     96.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    271772      3.82%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7109147                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   78974     19.81%     19.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  13055      3.27%     23.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    1273      0.32%     23.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     23.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     23.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     23.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     23.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     23.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     23.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     23.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     23.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     23.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     23.40% # attempts to use FU when none available (Count)
