
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004621                       # Number of seconds simulated (Second)
simTicks                                   4621420500                       # Number of ticks simulated (Tick)
finalTick                                  4621420500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    161.50                       # Real time elapsed on the host (Second)
hostTickRate                                 28616091                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   17914496                       # Number of bytes of host memory used (Byte)
simInsts                                     10000002                       # Number of instructions simulated (Count)
simOps                                       10000002                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    61920                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      61920                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   4621420500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          9242843                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10278132                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10205260                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3360                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               278078                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            174903                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples             9241537                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.104282                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.623220                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4628023     50.08%     50.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2241170     24.25%     74.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1071152     11.59%     85.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    491250      5.32%     91.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    284144      3.07%     94.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    179448      1.94%     96.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    161126      1.74%     98.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    134328      1.45%     99.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     50896      0.55%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               9241537                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 91300      0.56%      0.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                102620      0.63%      1.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              4828732     29.41%     30.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           3382005     20.60%     51.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv               3787189     23.07%     74.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     74.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt              4191590     25.53%     99.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     99.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     99.79% # attempts to use FU when none available (Count)
