
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004091                       # Number of seconds simulated (Second)
simTicks                                   4091432000                       # Number of ticks simulated (Tick)
finalTick                                  4091432000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    117.56                       # Real time elapsed on the host (Second)
hostTickRate                                 34803514                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   19032708                       # Number of bytes of host memory used (Byte)
simInsts                                     10000006                       # Number of instructions simulated (Count)
simOps                                       10000006                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    85064                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      85064                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   4091432000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          8182865                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10009600                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       50                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10022030                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    463                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 9504                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              6653                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  17                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             8173700                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.226131                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.054635                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5249020     64.22%     64.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    661814      8.10%     72.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    607440      7.43%     79.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    353818      4.33%     84.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    350948      4.29%     88.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    387865      4.75%     93.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    305550      3.74%     96.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    150495      1.84%     98.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    106750      1.31%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               8173700                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   37400      2.57%      2.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 25231      1.73%      4.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               560062     38.49%     42.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             75114      5.16%     47.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                 76098      5.23%     53.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc               455195     31.29%     84.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt               103995      7.15%     91.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     91.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     91.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     91.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     91.63% # attempts to use FU when none available (Count)
