
---------- Begin Simulation Statistics ----------
simSeconds                                   0.017045                       # Number of seconds simulated (Second)
simTicks                                  17044735500                       # Number of ticks simulated (Tick)
finalTick                                 17044735500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    320.44                       # Real time elapsed on the host (Second)
hostTickRate                                 53190862                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18602628                       # Number of bytes of host memory used (Byte)
simInsts                                     10000003                       # Number of instructions simulated (Count)
simOps                                       10000003                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    31207                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      31207                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  17044735500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         34089472                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        13065659                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       33                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       12113018                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  50586                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3065653                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1784208                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            34088917                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.355336                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.315774                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  30680299     90.00%     90.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1132501      3.32%     93.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    328383      0.96%     94.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    432828      1.27%     95.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    357574      1.05%     96.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    246983      0.72%     97.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    331231      0.97%     98.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    260274      0.76%     99.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    318844      0.94%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              34088917                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    6824      0.48%      0.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      0.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      0.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      0.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%      0.48% # attempts to use FU when none available (Count)
