
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004461                       # Number of seconds simulated (Second)
simTicks                                   4461013500                       # Number of ticks simulated (Tick)
finalTick                                  4461013500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    174.43                       # Real time elapsed on the host (Second)
hostTickRate                                 25574813                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18985600                       # Number of bytes of host memory used (Byte)
simInsts                                     10000000                       # Number of instructions simulated (Count)
simOps                                       10000000                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    57330                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      57330                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   4461013500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          8922028                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10201796                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       34                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10225003                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7578                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               201808                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            124307                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             8879256                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.151561                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.084033                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6175283     69.55%     69.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    508174      5.72%     75.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    369073      4.16%     79.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    406371      4.58%     84.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    453675      5.11%     89.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    272285      3.07%     92.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    382877      4.31%     96.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    205961      2.32%     98.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    105557      1.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               8879256                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   57214      9.15%      9.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      9.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      9.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      9.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      9.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      9.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      9.15% # attempts to use FU when none available (Count)
