
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010271                       # Number of seconds simulated (Second)
simTicks                                  10271282500                       # Number of ticks simulated (Tick)
finalTick                                 10271282500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    325.75                       # Real time elapsed on the host (Second)
hostTickRate                                 31530809                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   18870912                       # Number of bytes of host memory used (Byte)
simInsts                                     10000006                       # Number of instructions simulated (Count)
simOps                                       10000198                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    30698                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      30699                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  10271282500                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         20542566                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        12036832                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6635                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       11379864                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  49104                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2043217                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1300994                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 613                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            20316157                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.560139                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.551794                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  17161199     84.47%     84.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    685841      3.38%     87.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    504403      2.48%     90.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    440980      2.17%     92.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    465215      2.29%     94.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    383221      1.89%     96.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    318837      1.57%     98.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    179398      0.88%     99.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    177063      0.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              20316157                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   46410      8.65%      8.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      8.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     131      0.02%      8.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      8.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     3      0.00%      8.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    11      0.00%      8.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      8.67% # attempts to use FU when none available (Count)
